keyword_summary,,,,,,,,,,,
"May 14, 2018 - May 21, 2018",,,,,,,,,,,
Search keyword,Ad relevance,Landing page experience,Expected clickthrough rate,Impressions,Clicks,CTR,Avg. CPC,Conversions,Conv. rate,Cost / conv.,Conv. value / cost (current model)
cv writing,Below average,Below average,Above average,2158.00,177,8.20%,£0.17,6,3.39%,£4.94,0.18
free cv for data science,Average,Average,Average,0.00,0,0.00%,£0.00,0,0.00%,£0.00,0
data science resume,Average,Average,Average,1.00,0,0.00%,£0.00,0,0.00%,£0.00,0
CVs for data science,Average,Average,Average,0.00,0,0.00%,£0.00,0,0.00%,£0.00,0
CV for Data scientist,Average,Average,Average,0.00,0,0.00%,£0.00,0,0.00%,£0.00,0
CV for Analyst,Average,Average,Average,0.00,0,0.00%,£0.00,0,0.00%,£0.00,0
Improve cv,Average,Average,Average,1.00,0,0.00%,£0.00,0,0.00%,£0.00,0
CVs for Analyst roles,Average,Average,Average,0.00,0,0.00%,£0.00,0,0.00%,£0.00,0
cv maker,Below average,Below average,Above average,111.00,6,5.41%,£0.17,0,0.00%,£0.00,0
Top cv examples,Average,Average,Average,10.00,0,0.00%,£0.00,0,0.00%,£0.00,0
Improve my CV,Average,Average,Average,0.00,0,0.00%,£0.00,0,0.00%,£0.00,0
free cv maker,Below average,Below average,Above average,556.00,35,6.29%,£0.22,0,0.00%,£0.00,0
CV template for tech jobs,Average,Average,Average,0.00,0,0.00%,£0.00,0,0.00%,£0.00,0
Free CV templates,Below average,Below average,Above average,124.00,7,5.65%,£0.11,0,0.00%,£0.00,0
Top tips for improving CV,Average,Average,Average,0.00,0,0.00%,£0.00,0,0.00%,£0.00,0
Imperial Business Analytics Course,Average,Average,Average,0.00,0,0.00%,£0.00,0,0.00%,£0.00,0
careers advice,Average,Average,Average,212.00,3,1.42%,£0.59,0,0.00%,£0.00,0
make my cv for free,Below average,Below average,Below average,100.00,12,12.00%,£0.18,0,0.00%,£0.00,0
how to do a resume,Average,Average,Average,950.00,74,7.79%,£0.18,2,2.70%,£6.68,0.13
free resume template download,Below average,Below average,Below average,2.00,0,0.00%,£0.00,0,0.00%,£0.00,0
How to improve my CV,Average,Average,Average,0.00,0,0.00%,£0.00,0,0.00%,£0.00,0
best resume format,Below average,Below average,Above average,153.00,12,7.84%,£0.09,0,0.00%,£0.00,0
data science cv,Average,Average,Average,0.00,0,0.00%,£0.00,0,0.00%,£0.00,0
free careers advice,Average,Average,Average,126.00,3,2.38%,£0.15,0,0.00%,£0.00,0
free resume sample,Below average,Average,Average,226.00,15,6.64%,£0.13,0,0.00%,£0.00,0
top Coding languages to learn,Average,Average,Average,0.00,0,0.00%,£0.00,0,0.00%,£0.00,0